dataset,variant,seed,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason
monk,LM_base,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,10.95,stagnation
monk,LM_base,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,2.54,max_iter
monk,LM_base,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,16.09,max_iter
monk,LM_base,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,2.2,max_iter
monk,LM_base,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,17.53,max_iter
monk,LM_base,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,38.07,stagnation
monk,LM_base,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,10.68,max_iter
monk,LM_base,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,15.88,max_iter
monk,LM_base,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,77.72,stagnation
monk,LM_base,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,6.11,max_iter
monk,LM_delayed,42,0.6667,0.0,0.5,316.5297,0.0,True,False,2000,0.217742,6.15,max_iter
monk,LM_delayed,59,0.6667,0.6667,0.5,318.1059,0.0,True,False,2000,0.217742,4.03,max_iter
monk,LM_delayed,76,0.7879,0.0,0.5,324.7658,0.0,True,False,2000,0.112903,4.05,max_iter
monk,LM_delayed,93,0.6585,0.6667,0.75,311.7639,0.0,True,False,2000,0.217742,0.43,max_iter
monk,LM_delayed,110,0.7879,0.0,0.5,311.9864,0.0,True,False,2000,0.112903,6.13,max_iter
monk,LM_delayed,127,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,6.51,converged
monk,LM_delayed,144,0.9091,0.0,0.5,326.0897,0.0,True,False,2000,0.048387,25.42,max_iter
monk,LM_delayed,161,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,3.33,converged
monk,LM_delayed,178,0.6667,0.6667,0.5,294.7633,0.0,True,False,2000,0.217742,7.86,max_iter
